baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G02205	452.346328924824	-1.30471497422611	0.303096159575158	-4.30462390567698	1.67269653774982e-05	0.000643815170820167
AT1G02340	871.113373757224	1.81480967012084	0.319620829926515	5.67800812774965	1.36272241394068e-08	1.29991423050115e-06
AT1G04243	8.61122696279363	-2.24140955158928	0.756002340655398	-2.96481826980343	0.00302861781606665	0.0420624786343049
AT1G04247	362.303644704016	1.4036838862469	0.326395917447172	4.30055589305616	1.70370192113864e-05	0.000653017107960299
AT1G05005	136.73942408015	1.09376754530151	0.320686084469973	3.41071096711065	0.000647937367451002	0.0127943679079391
AT1G05660	812.303291696049	-1.47467177480686	0.296703554854129	-4.97018573145125	6.68887965229639e-07	4.02188702126466e-05
AT1G05670	35500.6115550427	-1.32010887287135	0.279075369020403	-4.73029517977575	2.24193617524853e-06	0.000111982063997551
AT1G06030	879.28195676101	1.33567815938678	0.394456150909362	3.38612582490491	0.000708868732636325	0.0137935852928789
AT1G06180	2546.39022543552	1.97843058796716	0.362170368045556	5.46270695375692	4.68928351828573e-08	3.85067572792823e-06
AT1G04453	29.8759816263026	2.06132725789822	0.452167845208299	4.55876568787997	5.14551399067137e-06	0.000229863154928337
AT1G06430	25124.2395322472	1.74977606223399	0.26717160320026	6.54925913261235	5.78232212282715e-11	9.65267378583001e-09
AT1G07150	3011.83395791419	1.41343779029647	0.131193985987608	10.7736477374045	4.58469228845013e-27	4.65327928508535e-24
AT1G07560	714.748212785028	1.06076019927068	0.268699159879156	3.94776150304207	7.88853313976724e-05	0.00233290955580949
AT1G04597	40.7529813914809	2.19973598492472	0.605470927465264	3.63309927056889	0.000280037217148304	0.00651895811735879
AT1G07580	17.75500042258	2.51659053296315	0.614383626925719	4.09612239433493	4.20127870650386e-05	0.00139336320524614
AT1G07610	2931.52710355712	1.43830930114647	0.419088529300611	3.43199395971723	0.000599160902913696	0.0120277759102311
AT1G07985	106.135605556125	1.56802885746555	0.341386464532699	4.59311958841695	4.36668654818653e-06	0.000200000549591489
AT1G08570	8210.16037480849	1.40820170469171	0.229664504215926	6.13156007498549	8.70214621852504e-10	1.08772540960027e-07
AT1G08860	307.15190377693	-1.06195024768639	0.286056493908446	-3.71237944357337	0.000205319865995767	0.00510181500191046
AT1G10370	1450.67751581073	2.61743294607941	0.226941624075823	11.5335076001964	8.94245346809367e-31	1.13452907149704e-27
AT1G11925	985.037389836506	-2.18176510169757	0.183926053255258	-11.8621862595488	1.86052701132881e-32	2.62272291030318e-29
AT1G12240	34096.0794083931	1.60909062857734	0.250650927837005	6.41964760498996	1.36590160797023e-10	2.05079215388382e-08
